记录ID,用户ID,购买商品数量,商品ID,购买总金额(元),购买时间,是否退款
8847,81,3,"1991,1510,1095",2248.31,2024-03-11 13:01:00,是
8848,78,5,"1752,1028,1101,1541,1055",4769.9,2024-07-04 13:43:00,否
8849,65,3,"1308,1615,1886",658.95,2024-01-30 06:48:00,否
8850,29,3,"1493,1639,1158",967.17,2024-08-02 11:27:00,否
8851,81,1,1617,243.28,2024-09-13 13:55:00,否
8852,28,2,"1604,1624",1359.36,2024-08-01 07:55:00,否
8853,63,4,"1484,1808,1306,1634",2545.97,2024-11-09 16:55:00,否
8854,22,1,1698,2917.17,2024-10-05 07:14:00,否
8855,57,4,"1987,1767,1459,1289",2234.61,2024-12-30 10:15:00,否
8856,35,3,"1042,1169,1004",5312.35,2024-12-16 13:38:00,否
8857,47,2,"1046,1200",396.5,2024-05-17 18:31:00,否
8858,56,2,"1881,1500",299.67,2024-02-03 14:43:00,否
8859,98,4,"1300,1150,1646,1169",9111.15,2024-06-22 03:51:00,否
8860,67,2,"1388,1257",1249.68,2024-05-24 21:51:00,否
8861,18,2,"1546,1341",4289.04,2024-12-05 16:52:00,否
8862,88,1,1803,3656.83,2024-11-22 20:35:00,否
8863,48,4,"1735,1813,1937,1125",7339.36,2024-02-03 16:08:00,否
8864,39,1,1960,1669.89,2024-06-04 18:09:00,否
8865,39,2,"1576,1210",1767.6,2024-09-19 16:04:00,否
8866,39,3,"1921,1276,1407",1917.86,2024-10-26 03:43:00,否
8867,79,3,"1850,1305,1657",4809.07,2024-01-10 22:49:00,否
8868,82,1,1938,204.04,2024-08-14 23:17:00,否
8869,81,1,1897,596.5,2024-04-08 21:44:00,否
8870,8,2,"1052,1373",366.19,2024-08-24 02:00:00,否
8871,57,3,"1524,1883,1598",2365.36,2024-06-25 07:26:00,否
8872,84,5,"1249,1249,1849,1554,1936",4379.46,2024-05-29 01:35:00,否
8873,83,2,"1865,1300",1369.59,2024-08-08 14:50:00,否
8874,62,1,1856,587.53,2024-01-23 12:11:00,否
8875,45,1,1301,2787.41,2024-03-18 06:33:00,否
8876,46,3,"1265,1198,1056",1880.51,2024-11-22 12:12:00,否
8877,37,3,"1237,1825,1168",627.27,2024-05-14 15:50:00,否
8878,53,4,"1477,1643,1612,1846",5309.79,2024-03-15 19:00:00,否
8879,93,1,1772,578.41,2024-02-05 01:16:00,否
8880,79,1,1714,680.95,2024-08-19 23:51:00,否
8881,76,3,"1867,1098,1637",1933.64,2024-06-07 02:52:00,否
8882,85,2,"1525,1446",5991.26,2024-08-07 08:55:00,否
8883,11,3,"1687,1314,1746",1585.84,2024-06-04 20:34:00,否
8884,31,2,"1252,1448",2272.05,2024-08-30 10:53:00,否
8885,57,4,"1115,1784,1146,1814",8413.6,2024-09-17 03:36:00,否
8886,49,1,1673,781.67,2024-12-28 11:47:00,否
8887,29,3,"1040,1279,1234",3099.93,2024-03-04 19:08:00,否
8888,98,5,"1827,1494,1860,1642,1525",9588.44,2024-05-07 06:01:00,否
8889,97,1,1757,833.32,2024-04-04 22:18:00,否
8890,20,4,"1790,1264,1868,1789",2347.27,2024-05-30 15:39:00,否
8891,37,5,"1308,1954,1900,1792,1409",3329.59,2024-09-03 04:01:00,否
8892,84,2,"1409,1634",820.68,2024-08-03 14:15:00,否
8893,74,2,"1057,1867",1216.24,2024-04-08 09:56:00,否
8894,84,2,"1245,1652",5357.1,2024-11-26 19:00:00,否
8895,55,4,"1051,1263,1795,1027",2423.18,2024-10-20 18:45:00,否
8896,2,4,"1152,1901,1736,1622",1428.66,2024-08-30 11:46:00,否
8897,15,2,"1112,1099",6429.32,2024-07-28 21:48:00,否
8898,91,1,1923,33.84,2024-03-23 04:44:00,否
8899,60,2,"1035,1557",4245.65,2024-07-24 10:59:00,否
8900,8,1,1312,119.49,2024-06-23 14:43:00,否
8901,40,3,"1711,1279,1256",3231.78,2024-11-26 18:20:00,否
8902,86,3,"1503,1623,1889",2674.6,2024-12-19 20:37:00,否
8903,30,1,1896,298.9,2024-01-18 12:15:00,否
8904,97,3,"1801,1837,1310",7635.49,2024-06-26 02:11:00,否
8905,63,2,"1192,1062",4708.29,2024-01-30 11:19:00,否
8906,17,4,"1042,1505,1504,1669",3375.85,2024-02-10 22:51:00,否
8907,2,3,"1175,1921,1483",1401.88,2024-08-20 15:09:00,否
8908,67,4,"1132,1092,1334,1585",2536.75,2024-04-01 02:24:00,否
8909,100,2,"1869,1227",2323.94,2024-12-01 22:44:00,否
8910,73,1,1237,305.18,2024-03-17 21:50:00,否
8911,26,2,"1272,1873",2424.01,2024-09-23 13:07:00,否
8912,10,2,"1941,1697",2653.15,2024-07-30 13:28:00,否
8913,77,1,1481,109.63,2024-06-16 23:22:00,否
8914,47,4,"1431,1923,1844,1912",4550.39,2024-02-02 04:10:00,否
8915,29,1,1309,156.34,2024-05-28 16:28:00,否
8916,91,3,"1873,1636,1305",2706.95,2024-06-06 13:23:00,否
8917,60,2,"1935,1786",1189.34,2024-03-02 12:33:00,否
8918,42,2,"1700,1722",4195.3,2024-02-05 06:43:00,否
8919,75,2,"1887,1816",2740.85,2024-07-04 13:03:00,否
8920,27,3,"1998,1636,1294",2023.61,2024-10-09 00:15:00,否
8921,35,4,"1191,1806,1184,1533",1620.26,2024-10-28 14:05:00,否
8922,24,4,"1862,1784,1494,1907",4515.05,2024-01-28 12:44:00,否
8923,87,2,"1847,1292",2442.51,2024-11-17 04:52:00,否
8924,84,4,"1063,1793,1007,1084",5477.66,2024-05-02 15:09:00,否
8925,18,5,"1393,1434,1678,1948,1440",7014.09,2024-06-27 13:28:00,否
8926,61,4,"1345,1763,1914,1234",2084.59,2024-04-12 09:56:00,否
8927,93,4,"1972,1846,1599,1477",1024.64,2024-08-23 08:54:00,否
8928,60,2,"1346,1865",1407.73,2024-06-02 18:24:00,否
8929,11,2,"1563,1094",770.57,2024-07-30 04:01:00,否
8930,81,3,"1648,1652,1335",6624.09,2024-02-15 23:23:00,否
8931,79,4,"1702,1961,1733,1300",4510.48,2024-04-29 08:29:00,否
8932,53,3,"1799,1700,1939",6912.51,2024-01-03 18:33:00,否
8933,100,1,1251,170.52,2024-10-01 02:15:00,否
8934,26,1,1342,4903.23,2024-03-19 00:01:00,否
8935,1,5,"1886,1277,1116,1600,1613",4292.74,2024-07-25 00:39:00,否
8936,12,2,"1167,1484",1166.0,2024-04-10 14:34:00,否
8937,97,2,"1087,1419",3759.84,2024-10-14 13:23:00,否
8938,96,3,"1818,1059,1551",1931.07,2024-12-23 22:52:00,否
8939,23,4,"1191,1286,1117,1926",10146.26,2024-11-25 14:11:00,否
8940,52,3,"1882,1193,1430",5345.42,2024-07-28 14:29:00,否
8941,25,2,"1463,1976",757.97,2024-02-16 05:51:00,否
8942,41,3,"1854,1762,1596",1052.13,2024-08-29 13:17:00,否
8943,52,1,1106,996.99,2024-09-08 09:47:00,否
8944,63,1,1685,1087.66,2024-04-26 07:54:00,否
8945,77,3,"1203,1373,1221",1290.58,2024-07-06 06:01:00,否
8946,76,4,"1332,1434,1961,1181",7974.81,2024-03-16 08:55:00,否
8947,75,2,"1095,1306",2055.47,2024-01-03 22:31:00,否
8948,87,2,"1740,1497",1238.74,2024-08-19 18:06:00,否
8949,77,1,1939,2356.11,2024-06-10 12:39:00,否
8950,89,2,"1656,1101",555.99,2024-04-01 17:03:00,否
8951,91,3,"1991,1412,1493",2197.15,2024-05-31 02:50:00,否
8952,27,3,"1014,1288,1567",2544.02,2024-08-10 21:51:00,否
8953,9,3,"1849,1533,1658",1800.6,2024-07-13 06:15:00,是
8954,11,3,"1626,1494,1507",7806.86,2024-05-05 04:11:00,否
8955,14,4,"1978,1945,1558,1555",4858.11,2024-12-14 13:24:00,否
8956,29,4,"1777,1697,1143,1964",9552.45,2024-07-13 03:06:00,否
8957,88,4,"1031,1602,1455,1741",5439.42,2024-08-08 15:09:00,否
8958,69,2,"1583,1803",3770.21,2024-02-01 09:29:00,否
8959,11,2,"1099,1086",4390.66,2024-10-31 16:58:00,否
8960,19,3,"1223,1866,1866",3195.02,2024-08-24 04:17:00,否
8961,41,3,"1980,1147,1674",3397.44,2024-04-16 08:57:00,否
8962,94,4,"1759,1659,1531,1050",630.19,2024-09-30 17:55:00,否
8963,21,1,1396,470.27,2024-06-17 09:32:00,否
8964,73,1,1202,515.38,2024-01-14 23:34:00,是
8965,64,3,"1449,1926,1902",4729.71,2024-02-26 05:24:00,否
8966,23,3,"1343,1037,1422",3482.64,2024-09-06 00:00:00,否
8967,17,4,"1667,1298,1283,1986",513.04,2024-07-23 00:22:00,否
8968,40,5,"1234,1138,1770,1531,1662",6049.02,2024-07-02 12:15:00,否
8969,99,4,"1009,1531,1547,1781",1298.47,2024-09-09 14:53:00,否
8970,48,3,"1236,1772,1662",2236.46,2024-01-19 22:07:00,否
8971,81,2,"1297,1678",837.34,2024-05-05 13:48:00,是
8972,78,4,"1434,1497,1031,1825",3484.87,2024-10-12 11:46:00,否
8973,99,5,"1088,1265,1894,1900,1274",5246.18,2024-07-28 14:00:00,否
8974,76,5,"1196,1071,1861,1637,1524",6681.47,2024-03-27 21:33:00,否
8975,24,3,"1330,1847,1671",4396.55,2024-11-01 20:01:00,否
8976,44,1,1812,83.24,2024-06-15 15:59:00,否
8977,79,5,"1388,1044,1697,1963,1849",7342.58,2024-01-01 19:41:00,否
8978,95,1,1494,2782.67,2024-01-25 04:08:00,否
8979,62,1,1135,866.13,2024-05-11 01:11:00,否
8980,38,1,1106,996.99,2024-10-23 21:49:00,否
8981,13,2,"1677,1588",2144.23,2024-06-09 13:19:00,否
8982,27,3,"1460,1833,1899",2288.49,2024-09-12 12:30:00,否
8983,10,2,"1299,1777",3156.16,2024-02-28 12:57:00,否
8984,57,3,"1079,1666,1224",2544.49,2024-06-17 22:42:00,否
8985,76,1,1030,486.38,2024-06-26 12:50:00,否
8986,70,1,1772,578.41,2024-01-14 08:56:00,否
8987,52,3,"1628,1539,1180",4830.75,2024-08-24 04:39:00,否
8988,76,3,"1838,1979,1943",525.74,2024-10-24 17:48:00,否
8989,87,1,1055,222.66,2024-06-15 15:53:00,否
8990,42,2,"1821,1492",1264.82,2024-06-12 02:08:00,否
8991,97,2,"1569,1810",3022.49,2024-11-05 17:27:00,否
8992,32,3,"1807,1863,1235",2653.24,2024-10-02 00:30:00,否
8993,63,1,1431,1890.15,2024-03-13 21:45:00,否
8994,79,2,"1594,1182",1276.58,2024-03-13 03:04:00,否
8995,48,3,"1448,1600,1544",4416.69,2024-08-21 19:25:00,否
8996,70,3,"1997,1464,1208",3461.27,2024-04-05 08:02:00,否
8997,19,1,1187,814.01,2024-12-27 17:27:00,否
8998,37,3,"1760,1202,1339",1968.74,2024-07-30 19:29:00,否
8999,64,3,"1183,1598,1535",6658.76,2024-02-29 06:17:00,否
9000,36,3,"1138,1181,1784",5547.06,2024-10-20 08:22:00,是
9001,77,1,1462,91.35,2024-10-25 10:11:00,否
9002,52,1,1958,1500.91,2024-11-25 16:06:00,否
9003,6,5,"1612,1459,1598,1853,1532",3774.75,2024-10-15 20:49:00,否
9004,83,1,1814,3240.89,2024-11-16 14:55:00,否
9005,54,1,1342,4903.23,2024-09-23 10:01:00,否
9006,68,1,1749,140.55,2024-03-15 05:05:00,否
9007,92,2,"1345,1675",626.17,2024-09-12 09:24:00,否
9008,54,4,"1738,1109,1980,1217",4785.95,2024-03-29 00:55:00,否
9009,47,1,1868,981.53,2024-02-25 03:22:00,否
9010,58,2,"1050,1462",344.29,2024-10-26 07:02:00,否
9011,31,1,1968,193.94,2024-08-19 06:43:00,否
9012,17,5,"1694,1014,1394,1523,1599",8795.42,2024-04-04 13:35:00,否
9013,68,4,"1168,1397,1869,1854",1161.2,2024-06-11 14:05:00,否
9014,98,3,"1960,1900,1623",3774.12,2024-10-26 07:09:00,否
9015,86,4,"1055,1465,1343,1221",4748.74,2024-06-18 17:27:00,否
9016,82,1,1615,395.51,2024-06-19 10:00:00,否
9017,32,2,"1177,1086",2141.57,2024-05-14 19:47:00,否
9018,40,4,"1799,1021,1243,1137",3345.81,2024-07-19 18:31:00,否
9019,50,2,"1757,1896",1132.22,2024-04-14 18:32:00,否
9020,45,2,"1654,1757",2598.42,2024-03-26 04:51:00,否
9021,14,1,1254,583.7,2024-02-04 19:58:00,否
9022,6,2,"1592,1241",2045.88,2024-12-18 02:58:00,否
9023,59,1,1708,1012.45,2024-05-31 13:32:00,否
9024,32,1,1598,1675.65,2024-08-05 13:30:00,否
9025,69,3,"1818,1086,1294",3595.93,2024-04-01 00:22:00,否
9026,42,4,"1245,1659,1018,1236",4220.69,2024-03-30 16:24:00,否
9027,7,4,"1621,1035,1538,1835",3282.76,2024-08-07 02:47:00,否
9028,1,2,"1609,1434",3063.89,2024-09-07 11:10:00,否
9029,48,2,"1321,1716",857.55,2024-12-23 02:38:00,否
9030,3,3,"1698,1703,1265",3922.5,2024-09-23 08:13:00,是
9031,45,1,1496,115.43,2024-09-08 10:32:00,否
9032,79,1,1752,3782.56,2024-07-28 19:36:00,否
9033,7,2,"1340,1605",2329.74,2024-07-06 16:14:00,否
9034,23,2,"1679,1322",4356.62,2024-10-06 17:09:00,否
9035,84,1,1381,130.66,2024-01-02 18:28:00,否
9036,46,1,1482,2336.69,2024-12-17 18:32:00,否
9037,48,4,"1744,1748,1505,1968",2065.78,2024-01-13 12:40:00,否
9038,75,4,"1293,1167,1816,1200",2095.39,2024-11-26 02:16:00,否
9039,10,1,1673,781.67,2024-01-17 17:45:00,否
9040,52,2,"1093,1143",580.08,2024-02-02 13:59:00,否
9041,75,3,"1990,1160,1579",568.21,2024-10-24 07:13:00,否
9042,87,2,"1716,1148",2517.06,2024-12-27 23:35:00,否
9043,100,2,"1304,1813",3484.02,2024-06-04 20:20:00,否
9044,72,3,"1614,1149,1945",4452.08,2024-04-12 01:00:00,否
9045,6,3,"1813,1105,1387",7040.14,2024-01-26 18:58:00,否
9046,92,2,"1153,1039",1339.88,2024-01-19 17:10:00,否
9047,98,3,"1923,1777,1955",3755.6,2024-02-23 21:29:00,否
9048,58,2,"1698,1350",3322.21,2024-10-03 19:09:00,否
9049,76,2,"1329,1901",1387.01,2024-12-27 09:57:00,否
9050,85,2,"1611,1473",621.86,2024-09-23 06:11:00,是
9051,32,2,"1839,1350",587.77,2024-02-23 09:10:00,否
9052,7,3,"1761,1331,1285",1784.71,2024-12-29 16:42:00,否
9053,13,1,1689,669.16,2024-10-15 04:38:00,否
9054,77,1,1579,329.7,2024-12-19 19:55:00,否
9055,80,2,"1265,1259",3647.07,2024-09-07 06:04:00,否
9056,16,4,"1611,1001,1908,1580",1969.08,2024-06-09 03:50:00,否
9057,78,4,"1907,1412,1290,1638",2578.3,2024-03-12 00:04:00,否
9058,37,2,"1270,1049",704.18,2024-08-27 07:19:00,否
9059,5,2,"1924,1810",6545.17,2024-03-08 17:40:00,否
9060,82,1,1805,792.83,2024-11-23 06:52:00,否
9061,92,4,"1332,1194,1362,1938",4204.07,2024-04-09 16:57:00,否
9062,2,5,"1169,1063,1311,1438,1333",9074.88,2024-11-18 00:08:00,否
9063,49,1,1571,1965.89,2024-07-23 01:59:00,否
9064,21,2,"1821,1605",3299.55,2024-06-24 06:31:00,否
9065,45,3,"1978,1027,1311",589.84,2024-08-04 01:27:00,否
9066,78,1,1750,308.87,2024-01-17 08:36:00,否
9067,7,2,"1946,1944",1836.98,2024-10-29 03:31:00,否
9068,77,2,"1361,1030",2326.68,2024-03-14 21:05:00,否
9069,45,1,1704,1165.98,2024-07-05 02:13:00,否
9070,75,2,"1964,1223",3629.67,2024-06-13 23:18:00,否
9071,31,1,1907,11.23,2024-11-06 19:06:00,否
9072,84,1,1870,148.74,2024-05-01 17:23:00,否
9073,99,2,"1563,1860",208.03,2024-05-01 19:36:00,否
9074,12,2,"1954,1052",1099.74,2024-09-18 21:58:00,否
9075,95,2,"1769,1025",4679.81,2024-05-12 03:22:00,否
9076,80,3,"1118,1989,1325",5230.97,2024-02-12 14:11:00,否
9077,81,1,1329,1365.95,2024-01-09 15:13:00,是
9078,80,1,1326,138.08,2024-07-07 15:16:00,否
9079,52,3,"1987,1585,1302",2042.23,2024-10-28 22:41:00,否
9080,56,2,"1051,1637",1941.47,2024-01-26 01:49:00,否
9081,82,1,1363,823.28,2024-04-01 18:36:00,否
9082,67,2,"1342,1227",6958.54,2024-01-14 20:55:00,否
9083,96,1,1698,2917.17,2024-03-23 01:55:00,否
9084,73,1,1416,223.17,2024-04-24 23:28:00,否
9085,7,2,"1266,1831",2028.56,2024-02-25 23:54:00,否
9086,29,2,"1850,1579",2984.89,2024-11-28 11:55:00,否
9087,89,4,"1511,1894,1894,1771",4207.89,2024-03-23 02:38:00,否
9088,11,4,"1917,1491,1691,1275",2146.49,2024-03-27 00:30:00,否
9089,97,2,"1610,1418",2342.96,2024-07-19 12:09:00,否
9090,47,1,1868,981.53,2024-04-18 19:26:00,否
9091,83,3,"1577,1040,1494",4747.29,2024-05-17 22:44:00,否
9092,11,1,1259,2811.22,2024-08-04 04:35:00,否
9093,50,1,1605,2202.91,2024-06-12 03:54:00,否
9094,95,3,"1680,1814,1801",6643.59,2024-02-06 23:10:00,否
9095,20,2,"1790,1795",1114.98,2024-10-06 03:31:00,否
9096,19,2,"1410,1193",727.07,2024-09-11 02:21:00,否
9097,20,4,"1423,1271,1367,1870",4348.84,2024-07-24 19:06:00,否
9098,45,3,"1623,1184,1002",527.7,2024-03-14 00:05:00,否
9099,47,5,"1781,1766,1901,1034,1982",1316.28,2024-05-01 05:09:00,否
9100,17,4,"1851,1349,1675,1567",2138.49,2024-11-21 08:28:00,否
9101,8,2,"1286,1086",2988.29,2024-11-21 19:38:00,否
9102,44,1,1623,244.12,2024-05-02 19:21:00,否
9103,18,2,"1490,1777",7756.36,2024-07-02 05:54:00,否
9104,99,1,1561,3414.56,2024-12-20 10:01:00,否
9105,44,4,"1971,1779,1267,1069",3600.49,2024-12-15 13:41:00,否
9106,31,4,"1167,1977,1085,1246",5303.24,2024-03-09 20:14:00,否
9107,14,2,"1936,1372",1540.69,2024-03-02 00:27:00,否
9108,96,4,"1932,1589,1328,1006",3537.29,2024-06-10 04:50:00,否
9109,69,2,"1500,1074",2123.92,2024-05-11 02:06:00,否
9110,15,3,"1346,1648,1868",5470.65,2024-03-15 17:48:00,否
9111,63,1,1645,79.17,2024-07-12 02:55:00,否
9112,23,1,1658,30.88,2024-09-14 20:55:00,否
9113,54,3,"1949,1592,1690",4241.05,2024-11-13 04:29:00,否
9114,90,4,"1333,1561,1619,1464",8711.46,2024-02-28 09:09:00,否
9115,53,1,1272,1489.26,2024-01-19 17:19:00,否
9116,48,4,"1739,1134,1168,1125",5804.7,2024-01-19 02:40:00,是
9117,22,1,1081,1098.94,2024-12-27 18:32:00,否
9118,89,1,1523,3408.48,2024-03-16 00:22:00,否
9119,89,1,1167,832.46,2024-02-03 15:25:00,否
9120,45,1,1726,288.7,2024-06-26 18:49:00,否
9121,7,2,"1290,1544",222.03,2024-02-27 22:40:00,否
9122,89,5,"1539,1108,1634,1742,1383",4983.09,2024-09-21 12:28:00,否
9123,22,4,"1180,1989,1966,1578",3917.83,2024-02-18 21:14:00,否
9124,81,1,1731,8.41,2024-07-06 08:09:00,否
9125,52,3,"1847,1938,1435",2690.0,2024-10-13 03:20:00,否
9126,78,1,1397,98.01,2024-01-20 00:49:00,是
9127,47,5,"1504,1256,1524,1063,1739",3313.37,2024-11-28 06:39:00,否
9128,82,1,1493,130.95,2024-11-14 23:36:00,否
9129,90,1,1402,222.8,2024-07-10 20:34:00,否
9130,70,1,1385,1458.72,2024-06-16 15:59:00,否
9131,77,2,"1433,1519",1657.47,2024-06-03 02:29:00,否
9132,59,4,"1073,1874,1145,1680",5508.26,2024-06-08 15:05:00,否
9133,60,2,"1720,1710",1382.71,2024-02-05 22:15:00,否
9134,96,1,1776,1062.07,2024-07-11 15:48:00,否
9135,16,1,1266,253.56,2024-06-07 21:28:00,否
9136,22,2,"1701,1441",1939.33,2024-08-20 04:41:00,否
9137,7,4,"1406,1520,1873,1128",5880.33,2024-08-06 12:32:00,否
9138,20,2,"1317,1298",61.0,2024-08-17 05:37:00,否
9139,14,4,"1004,1331,1608,1619",1753.16,2024-07-14 01:06:00,否
9140,79,3,"1414,1152,1741",5450.77,2024-08-23 14:33:00,否
9141,6,2,"1158,1732",359.46,2024-04-10 18:25:00,是
9142,24,3,"1432,1232,1362",4316.86,2024-11-11 01:40:00,否
9143,93,2,"1013,1780",2003.47,2024-01-04 00:46:00,否
9144,14,2,"1328,1230",2436.75,2024-08-26 01:29:00,否
9145,52,3,"1452,1011,1074",3216.48,2024-09-25 08:58:00,否
9146,98,4,"1952,1331,1710,1720",1592.52,2024-08-01 05:46:00,否
9147,12,1,1378,208.3,2024-10-14 16:29:00,否
9148,91,4,"1277,1976,1559,1074",4844.94,2024-03-22 00:00:00,否
9149,95,2,"1419,1670",2374.1,2024-07-07 14:36:00,否
9150,77,2,"1097,1287",714.49,2024-02-23 22:14:00,否
9151,37,4,"1441,1461,1605,1345",4605.19,2024-11-22 00:32:00,否
9152,79,4,"1599,1943,1959,1929",190.4,2024-02-07 19:43:00,否
9153,14,3,"1070,1587,1403",4814.28,2024-02-22 07:26:00,否
9154,62,1,1420,4597.04,2024-12-12 19:38:00,否
9155,65,2,"1363,1595",2608.11,2024-06-22 12:00:00,否
9156,23,5,"1553,1908,1888,1448,1439",5510.6,2024-08-09 09:29:00,否
9157,14,3,"1687,1398,1723",563.09,2024-03-17 21:40:00,否
9158,75,1,1115,2176.44,2024-09-11 16:50:00,否
9159,13,3,"1810,1143,1264",3375.22,2024-11-02 06:35:00,否
9160,43,1,1975,2714.85,2024-08-01 11:41:00,否
9161,98,5,"1593,1725,1475,1775,1851",3406.64,2024-01-20 17:45:00,否
9162,84,3,"1352,1785,1191",6803.76,2024-07-11 07:56:00,否
9163,33,5,"1875,1050,1557,1227,1727",9099.34,2024-09-08 07:19:00,否
9164,18,1,1962,23.92,2024-08-07 12:40:00,否
9165,31,4,"1357,1261,1591,1947",11780.45,2024-12-01 06:28:00,否
9166,66,1,1728,870.79,2024-08-14 15:24:00,否
9167,49,3,"1146,1191,2000",2545.68,2024-05-12 04:05:00,否
9168,19,4,"1179,1675,1480,1936",2601.85,2024-03-18 18:05:00,是
9169,57,2,"1727,1217",2327.97,2024-03-27 02:16:00,是
9170,24,1,1719,148.9,2024-04-16 12:43:00,否
9171,47,3,"1963,1272,1961",8554.58,2024-01-29 08:11:00,否
9172,1,3,"1370,1508,1859",1888.47,2024-04-15 00:37:00,否
9173,92,5,"1389,1092,1512,1301,1250",6245.18,2024-10-12 03:06:00,否
9174,83,3,"1456,1851,1063",4006.71,2024-10-08 09:21:00,否
9175,21,4,"1911,1645,1125,1338",3867.98,2024-04-17 17:09:00,否
9176,75,1,1666,823.56,2024-02-01 21:19:00,否
9177,47,2,"1563,1970",199.98,2024-05-18 01:42:00,否
9178,53,1,1562,1674.62,2024-01-09 14:58:00,否
9179,85,3,"1874,1605,1395",6818.24,2024-10-02 03:52:00,否
9180,43,1,1126,4479.12,2024-05-05 23:13:00,否
9181,68,1,1311,215.27,2024-05-25 13:14:00,否
9182,20,1,1489,538.86,2024-12-23 19:24:00,否
9183,54,1,1654,1765.1,2024-02-12 01:03:00,否
9184,64,1,1197,42.75,2024-01-19 01:20:00,否
9185,11,2,"1858,1031",1663.91,2024-01-30 08:18:00,否
9186,50,3,"1048,1869,1517",3317.22,2024-05-27 08:17:00,否
9187,44,1,1446,1454.9,2024-07-14 06:59:00,否
9188,11,2,"1820,1652",2769.99,2024-08-31 14:48:00,否
9189,33,1,1015,79.82,2024-11-29 23:16:00,否
9190,88,1,1560,1070.56,2024-09-03 11:37:00,否
9191,26,1,1449,117.48,2024-08-17 23:51:00,否
9192,72,2,"1707,1982",3494.71,2024-05-22 07:11:00,否
9193,15,2,"1373,1144",739.16,2024-05-12 06:23:00,是
9194,70,1,1931,155.83,2024-01-01 19:20:00,否
9195,77,2,"1431,1863",4065.34,2024-06-12 12:44:00,否
9196,45,1,1569,267.6,2024-07-11 19:03:00,否
9197,58,3,"1469,1534,1752",4652.43,2024-07-27 17:42:00,否
9198,42,2,"1858,1540",2060.18,2024-04-29 13:09:00,否
9199,73,3,"1491,1952,1008",1015.08,2024-07-18 09:34:00,否
9200,65,1,1531,42.95,2024-05-08 15:15:00,否
9201,28,2,"1009,1296",3275.64,2024-08-07 01:59:00,否
9202,22,3,"1870,1419,1823",2683.05,2024-12-27 18:32:00,否
9203,78,1,1835,1288.59,2024-12-04 22:28:00,否
9204,70,3,"1050,1288,1785",4092.56,2024-03-06 15:13:00,否
9205,19,1,1616,55.99,2024-09-28 21:21:00,否
9206,44,4,"1538,1104,1246,1609",920.15,2024-07-14 14:44:00,否
9207,12,3,"1546,1833,1963",5985.12,2024-10-28 11:54:00,否
9208,69,3,"1865,1851,1372",2049.63,2024-12-12 10:52:00,否
9209,25,4,"1285,1100,1629,1736",1742.62,2024-12-04 03:43:00,否
9210,36,1,1890,1098.73,2024-02-17 14:32:00,否
9211,81,2,"1417,1498",448.5,2024-11-20 07:59:00,否
9212,47,1,1121,634.57,2024-08-05 01:00:00,否
9213,13,4,"1401,1090,1011,1885",3392.84,2024-09-01 01:37:00,否
9214,60,4,"1853,1610,1008,1565",5540.05,2024-11-16 15:13:00,否
9215,51,2,"1082,1158",176.83,2024-01-23 03:18:00,否
9216,11,3,"1489,1933,1805",4234.31,2024-12-28 10:08:00,否
9217,26,2,"1251,1230",800.82,2024-08-21 05:19:00,否
9218,53,1,1975,2714.85,2024-05-09 15:28:00,否
9219,1,1,1318,4011.14,2024-12-13 22:54:00,否
9220,7,1,1364,3738.15,2024-12-08 15:55:00,否
9221,59,5,"1172,1408,1306,1294,1844",5532.7,2024-06-16 20:14:00,否
9222,79,3,"1574,1837,1185",3021.73,2024-04-22 09:25:00,否
9223,86,1,1687,64.01,2024-07-06 03:32:00,否
9224,43,4,"1491,1095,1337,1462",6752.9,2024-11-29 17:37:00,否
9225,21,3,"1660,1910,1695",3233.11,2024-01-06 01:25:00,否
9226,46,1,1997,1034.8,2024-06-19 01:00:00,否
9227,79,5,"1724,1280,1141,1297,1380",2709.37,2024-03-20 13:35:00,否
9228,87,1,1599,20.03,2024-08-30 06:55:00,否
9229,10,4,"1291,1251,1786,1243",1977.11,2024-04-07 15:40:00,否
9230,8,2,"1750,1312",428.36,2024-10-21 18:06:00,否
9231,15,3,"1932,1328,1988",4684.46,2024-08-24 19:04:00,否
9232,97,2,"1682,1546",852.6,2024-08-03 07:08:00,否
9233,57,2,"1925,1229",2289.9,2024-11-18 06:54:00,是
9234,9,3,"1512,1192,1331",5826.41,2024-03-12 17:23:00,否
9235,19,2,"1293,1284",1798.54,2024-10-22 20:21:00,否
9236,70,1,1793,4411.66,2024-11-16 16:56:00,否
9237,8,2,"1828,1504",1004.03,2024-08-14 17:12:00,否
9238,100,1,1325,2317.34,2024-05-20 20:24:00,否
9239,18,2,"1148,1720",2962.26,2024-12-25 15:46:00,否
9240,74,4,"1354,1976,1321,1378",1338.38,2024-03-20 06:31:00,否
9241,89,3,"1510,1845,1093",405.12,2024-02-14 09:16:00,否
9242,26,2,"1900,1334",2057.27,2024-11-28 13:28:00,否
9243,26,2,"1485,1166",2305.9,2024-08-12 06:39:00,否
9244,35,3,"1008,1026,1504",3939.06,2024-09-09 03:50:00,否
9245,49,1,1991,170.03,2024-07-30 18:36:00,否
9246,87,3,"1916,1881,1099",3634.03,2024-03-28 11:52:00,否
9247,32,1,1355,93.11,2024-04-21 17:10:00,否
9248,27,1,1630,1531.41,2024-07-05 05:11:00,否
